,Investigation,Date,Location,Country,Damage,Make,Model,EnginesNo,EngineType,Carrier,Weather,Phase,GeoPoint,Make_Model
8,Incident,2015-08-17,Page_AZ,US,Minor,Quest,KODIAC_100,1,Turbo_Prop,Arrow_west_aviation_(dba:_redtail_aviation),VMC,Takeoff,"37.024445, 111.630834",Quest_KODIAC_100
820,Accident,2016-08-27,Pascagoula_FL,US,Substantial,Boeing,737,2,Turbo_Fan,Southwest_Airlines,VMC,Other,Missing,Boeing_737
1013,Accident,2017-04-28,Amarillo_TX,US,Destroyed,Pilatus_aircraft_ltd,PC_12,1,Turbo_Prop,Rico_aviation_llc,IMC,Takeoff,"35.196389, -101.704722",Pilatus_aircraft_ltd_PC_12
1342,Accident,2018-06-15,Kotzebue_AK,US,Substantial,Cessna,180K,1,Reciprocating,Airframe_innovations_inc,VMC,Takeoff,"66.135, -160.2575",Cessna_180K
1376,Accident,2013-08-14,Birmingham_AL,US,Destroyed,Airbus,A300___F4_622R,2,Turbo_Fan,United_Airlines,UNK,Approach,"33.563889, -86.802222",Airbus_A300___F4_622R
1388,Accident,2013-06-14,Salmon_ID,US,Substantial,Cessna,T210N,1,Reciprocating,Scott_patrick_(dba:_sp_aircraft),VMC,Landing,"44.967778, -114.732778",Cessna_T210N
1503,Accident,2014-11-18,Chicago_IL,US,Substantial,Aero_commander,500_B,2,Reciprocating,Central_airlines_inc._(dba:_central_air_southwest),VMC,Other,"41.774445, 87.738055",Aero_commander_500_B
1504,Accident,2014-08-27,LasCruces_NM,US,Destroyed,Cessna,421C,2,Reciprocating,Amigos_aviation_inc_(dba:_amigos_aviation_inc),VMC,Standing,"32.255833, -106.982223",Cessna_421C
1787,Accident,2017-09-16,Sedona_AZ,US,Substantial,Cessna,208,2,Turbo_Prop,Westwind_aviation_inc,VMC,Taxi,"34.849166, -111.790555",Cessna_208
1789,Accident,2017-07-03,ElPaso_TX,US,Substantial,Beech,A36,1,Reciprocating,"Gta_air,_inc.",VMC,Climb,"31.812222, -106.382778",Beech_A36
2853,Accident,2016-09-25,DeltaJunction_AK,US,Substantial,Helio,H_295,1,Reciprocating,Wright_air_service_(dba:_wright_air_service),VMC,Takeoff,"63.788889, -146.798611",Helio_H_295
2863,Accident,2016-01-02,AnaktuvukPass_AK,US,Substantial,Cessna,208,1,Turbo_Prop,Wright_air_service_inc,VMC,Cruise,"68.078334, -151.896389",Cessna_208
2955,Accident,2015-07-17,Juneau_AK,US,Substantial,Cessna,207,1,Reciprocating,"Sea_port_airlines,_inc_(dba:_wings_of_alaska)",VMC,Other,"58.336111, -135.186111",Cessna_207
2966,Accident,2015-02-24,Baltimore_MD,US,Substantial,Cessna,208,1,Turbo_Prop,Mountain_air_cargo_inc,VMC,Taxi,"39.178889, -76.674167",Cessna_208
2982,Accident,2017-05-24,Augusta_GA,US,Substantial,Beech,58,2,Reciprocating,Gerlach_and_associates_llc_(dba:_midwest_airlink),IMC,Landing,"33.381111, -81.970556",Beech_58
3138,Accident,2015-06-30,SaltLakeCity_UT,US,Substantial,Beech,C_99,2,Turbo_Prop,Ameriflight_Airlines,VMC,Takeoff,"40.786389, -111.973334",Beech_C_99
3139,Accident,2015-06-27,Anchorage_AK,US,Substantial,Cessna,U206G,1,Reciprocating,Lake_and_pen_air_(dba:_lake_and_pen_air),VMC,Landing,"61.215278, -149.838889",Cessna_U206G
3144,Accident,2016-09-25,DeltaJunction_AK,US,Substantial,Helio,H_295,1,Reciprocating,Wright_air_service_(dba:_wright_air_service),VMC,Takeoff,"63.788889, -146.798611",Helio_H_295
3167,Accident,2016-04-08,Angoon_AK,US,Substantial,Cessna,206,1,Reciprocating,Sunrise_aviation,VMC,Cruise,"57.277778, -134.242777",Cessna_206
